"PRODCOD","PRODDES","PRODPRE","TIPCOD","PRODSEX","PRODSTO","SUBTIPCOD","PRODSINI","PRODEST","PRODCOM","","","","","","","",""
"030","SI 50 ML","381","F","FEMENINO","293","FF","0","A","P","","","","","","","",""
"B04","","0","L","","0","BO","0","A","P","","","","","","","",""
"199","OCA","1","0","","7487","199","0","A","P","","","","","","","",""
"900","","80","B","","0","900","0","A","P","","","","","","","",""
"901","","80","B","","0","901","0","A","P","","","","","","","",""
"902","","80","B","","0","902","0","A","P","","","","","","","",""
"903","","80","B","","0","903","0","A","P","","","","","","","",""
"E08","ENS NARANJA GENJIBRE 10 M","63","U","","683","ESE","0","A","C","","","","","","","",""
"E09","ESENCIA MAGNOLIA 10 ML","63","U","","948","ESE","0","A","P","","","","","","","",""
"E10","ESEN POME VAINILLA 10 ML","63","U","","244","ESE","0","A","P","","","","","","","",""
"E11","ESEN CIRUELA DURAZNO 10 M","63","U","","403","ESE","0","A","P","","","","","","","",""
"E12","ESENCIA NAG CHAMPA 10 ML","63","U","","734","ESE","0","A","P","","","","","","","",""
"E13","ESENCIA PAPAYA 10 ML","63","U","","931","ESE","0","A","P","","","","","","","",""
"E15","ESEN,LIMON 10 ML","63","U","","875","ESE","0","A","P","","","","","","","",""
"E16","ESENCIA FRUTOS ROJOS 10 M","63","U","","943","ESE","0","A","P","","","","","","","",""
"E17","ESEN,ALMENDRA 10 ML","63","U","","949","ESE","0","A","P","","","","","","","",""
"E18","ESENCIA BAMBU 10 ML","63","U","","951","ESE","0","A","P","","","","","","","",""
"E19","ESEN COCO Y VAINI 10 ML","63","U","","686","ESE","0","A","P","","","","","","","",""
"E20","ESENCIA JAZMIN 10 ML","63","U","","923","ESE","0","A","P","","","","","","","",""
"A04","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A05","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A06","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A07","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A08","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A09","","0","T","","0","ESP","0","I","P","","","","","","","",""
"E21","","63","U","","0","ESE","0","A","P","","","","","","","",""
"JX5","JABON LIQUIDO 5 LITROS","942","R","","485","JX5","0","A","P","","","","","","","",""
"904","","80","B","","0","904","0","A","P","","","","","","","",""
"905","","80","B","","0","905","0","A","P","","","","","","","",""
"97","NAQ CHAMPA PERF 260 ML","166","H","","804","H","0","A","P","","","","","","","",""
"98","","166","H","","0","H","0","A","P","","","","","","","",""
"99","SEDUCTION PERF 260 ML","166","H","","140","H","0","A","P","","","","","","","",""
"100","LINA PERFUMINA 260 ML","166","H","","495","H","0","A","P","","","","","","","",""
"101","BUBBLEGUM PERFUMINA 260 M","166","H","","476","H","0","A","P","","","","","","","",""
"102","LAVANDA PERFUMINA 260 ML","166","H","","213","H","0","A","P","","","","","","","",""
"103","JASMIN 260 ML","166","H","","145","H","0","A","P","","","","","","","",""
"104","NARA DULCE PERF 260 ML","166","H","","196","H","0","A","P","","","","","","","",""
"105","NAR JENG PERFUM 260 ML","166","H","","173","H","0","A","P","","","","","","","",""
"1210","SEDUCTIOM 100 ML","175","8","","906","06","0","A","P","","","","","","","",""
"106","","166","H","","0","H","0","A","P","","","","","","","",""
"107","","166","H","","0","H","0","A","P","","","","","","","",""
"108","VAIN Y CANE PERF 260 ML","166","H","","485","H","0","A","P","","","","","","","",""
"109","","166","H","","0","H","0","A","P","","","","","","","",""
"110","BAMBU PERFUMINA 260 ML","166","H","","865","H","0","A","P","","","","","","","",""
"111","FLORES AMARIL PERF 260 ML","166","H","","909","H","0","A","P","","","","","","","",""
"112","PAPAYA PERFUMINA 260 ML","166","H","","279","H","0","A","P","","","","","","","",""
"113","","166","H","","0","H","0","A","P","","","","","","","",""
"44","INVICTUS 50 ML","381","F","MASCULINO","424","FM","0","A","P","","","","","","","",""
"422","INVICTUS 53 ML","241","I","MASCULINO","461","02","0","A","P","","","","","","","",""
"1211","","175","8","","0","06","0","A","P","","","","","","","",""
"1212","DIF. NARAN Y MANDAR 100 L","175","8","","279","06","0","A","P","","","","","","","",""
"1213","DIFUSOR PETIT INFA 100 ML","175","8","","128","06","0","A","P","","","","","","","",""
"1214","","175","8","","0","06","0","A","P","","","","","","","",""
"1215","DIF FLOR Y PERAS 100 ML","175","8","","295","06","0","A","P","","","","","","","",""
"1216","DIFUSOR LINA 100 ML","175","8","","258","06","0","A","P","","","","","","","",""
"1217","","175","8","","0","06","0","A","P","","","","","","","",""
"1218","DIFUSOR BUBBLEGUM 100 ML","175","8","","272","06","0","A","P","","","","","","","",""
"114","PETIT INFANTE PERF 260 ML","166","H","","791","H","0","A","P","","","","","","","",""
"1900","AUTO LIMON 50 ML","80","B","","202","AUT","0","A","P","","","","","","","",""
"1901","AUTO POLO SPORT 50 ML","80","B","","250","AUT","0","A","P","","","","","","","",""
"1902","AUTO ONE MILLON 50 ML","80","B","","351","AUT","0","A","P","","","","","","","",""
"1903","AUTO SABRINA 50 ML","80","B","","320","AUT","0","A","P","","","","","","","",""
"1904","AUTO VAINILLA 50 ML","80","B","","335","AUT","0","A","P","","","","","","","",""
"1905","AUTO DAVIDOOF 50 ML","80","B","","315","AUT","0","A","P","","","","","","","",""
"1950","NARANJA PIMIENTA BODY 112","92","E","","334","BS","0","A","P","","","","","","","",""
"1951","BODY SPLAST ROMANTIC 112","92","E","","399","BS","0","A","P","","","","","","","",""
"1952","TILO SECRET BODY 112 ML","92","E","","389","BS","0","A","P","","","","","","","",""
"1953","FRUTOS ROJOS BODY 112 ML","92","E","","437","BS","0","A","P","","","","","","","",""
"3000","PERF, MASCOTA POLO","73","G","","324","G","0","A","P","","","","","","","",""
"3001","PERF,MASCOTA LADY","73","G","","320","G","0","A","P","","","","","","","",""
"3003","PERF, MASCOTA PUPPYS","73","G","","132","G","0","A","P","","","","","","","",""
"3002","PERF,MASCOTA PETIT INF,","73","G","","228","G","0","A","P","","","","","","","",""
"202","DESCUENTO 10%","300","K","","453","602","0","A","P","","","","","","","",""
"BIDON","BIDON CON CANILLA","0","4","","195","BI","0","A","P","","","","","","","",""
"600","ACEITE MAS NEUTRO 200 ML","148","V","","66","610","0","A","P","","","","","","","",""
"601","ACEITE MAS MENTA 200 ML","148","V","","193","611","0","A","P","","","","","","","",""
"APA","APARATOS","2206.8","5","","268","APA","0","A","P","","","","","","","",""
"300","GEL DUCHA BAMBU 125 ML","82","A","","179","GEL","0","A","P","","","","","","","",""
"301","GEL DUC FLO BLAN 125 ML","82","A","","158","GEL","0","A","P","","","","","","","",""
"302","GEL DU FRU D BOS 125 ML","82","A","","227","GEL","0","A","P","","","","","","","",""
"303","GEL DU NARA MANGO 125  ML","82","A","","257","GEL","0","A","P","","","","","","","",""
"310","ESPUMA BA�O BAMBU 250 ML","76","T","","122","ESP","0","A","P","","","","","","","",""
"311","ESPUMA BA�O FLORES BLAN","76","T","","166","ESP","0","A","P","","","","","","","",""
"312","ESPUMA BA�O FRUTOS ROJOS","76","T","","182","ESP","0","A","P","","","","","","","",""
"313","ESPUMA BA�O NARANJA MANGO","76","T","","215","ESP","0","A","P","","","","","","","",""
"320","ESPUMA BA�O BAMBU 500 ML","129","4","","213","ESP","0","A","P","","","","","","","",""
"321","ESPUMA BA�O FLORES B.500M","129","4","","366","ESP","0","A","P","","","","","","","",""
"322","ESPUMA FRUTOS ROJOS 500 M","129","4","","361","ESP","0","A","P","","","","","","","",""
"323","ESP.BA�O NARAN MANG 500M","129","4","","383","ESP","0","A","P","","","","","","","",""
"FLETE","FLETE","130","9","","1000","FLE","0","A","P","","","","","","","",""
"0112","","241","I","FEMENINO","0","01","0","I","P","","","","","","","",""
"031","","381","F","FEMENINO","0","FF","0","A","P","","","","","","","",""
"650","AEROSOL LIMON 270 ML","138.5","P","","794","AER","0","A","P","","","","","","","",""
"651","AEROSOL FLORES BLAN.270ML","138.5","P","","942","AER","0","A","P","","","","","","","",""
"652","AEROSOL CHICLE 270 ML","138.5","P","","421","AER","0","A","P","","","","","","","",""
"653","AEROSOL VAINILLA 270 ML","138.5","P","","141","AER","0","A","P","","","","","","","",""
"654","AEROSOL CONI 270 ML","138.5","P","","836","AER","0","A","P","","","","","","","",""
"655","AEROSOL MILLON 270 ML","138.5","P","","434","AER","0","A","P","","","","","","","",""
"656","AEROSOL VERBENA 270 ML","138.5","P","","710","AER","0","A","P","","","","","","","",""
"657","AEROSOL PETIT 270 ML","138.5","P","","856","AER","0","A","P","","","","","","","",""
"658","AEROSOL TE VERDE 270 ML","138.5","P","","304","AER","0","A","P","","","","","","","",""
"659","AEROSOL NINA 270 ML","138.5","P","","-3","AER","0","A","P","","","","","","","",""
"660","AEROSOL CITRUS 270 ML","138.5","P","","257","AER","0","A","P","","","","","","","",""
"661","AEROSOL UVA 270 ML","138.5","P","","625","AER","0","A","P","","","","","","","",""
"662","AEROSOL COCO Y VAIN. 270","138.5","P","","988","AER","0","A","P","","","","","","","",""
"663","AEROSOL PAULA 270 ML","138.5","P","","300","AER","0","A","P","","","","","","","",""
"664","AEROSOL JAZMIN 270 ML","138.5","P","","335","AER","0","A","P","","","","","","","",""
"115","GRANADA POMELO PER 260 ML","166","H","","317","H","0","A","P","","","","","","","",""
"116","TE VERDE PERFUMINA 260 ML","166","H","","6","H","0","A","P","","","","","","","",""
"117","SANDIA PEPINO PERF 260 ML","166","H","","140","H","0","A","P","","","","","","","",""
"118","COCO Y VAINILLA PERF 260","166","H","","467","H","0","A","P","","","","","","","",""
"665","AEROSOL ORIENTAL 270 ML","138.5","P","","1070","AER","0","A","P","","","","","","","",""
"666","AEROSOLES PAPAYA 270 ML","138.5","P","","270","AER","0","A","P","","","","","","","",""
"1219","DIF GRAN Y POMELO 100 ML","175","8","","150","06","0","A","P","","","","","","","",""
"1220","DIFUSOR TE VERDE 100 ML","175","8","","281","06","0","A","P","","","","","","","",""
"1221","DIFU SANDIA Y PEPINO 100","175","8","","159","06","0","A","P","","","","","","","",""
"1222","DIFUSOR NARA DULCE 100 ML","175","8","","97","06","0","A","P","","","","","","","",""
"1223","","175","8","","0","06","0","A","P","","","","","","","",""
"1224","DIFU COCO Y VAINILLA 100","175","8","","859","06","0","A","P","","","","","","","",""
"APARATO","EQUIPOS  AEROSOLES","415","7","","0","APA","0","A","P","","","","","","","",""
"119","","166","H","","0","H","0","A","P","","","","","","","",""
"120","ALERCE PERFUMINA 260 ML","166","H","","216","H","0","A","P","","","","","","","",""
"667","AEROSOL PINK 270 ML","138.5","P","","342","AER","0","A","P","","","","","","","",""
"668","AEROSOL AMOUR 270 ML","138.5","P","","0","AER","0","A","P","","","","","","","",""
"669","AERO. CARI DE ANGEL 270 M","138.5","P","","440","AER","0","A","P","","","","","","","",""
"670","AEROSOL SHOPPING 270 ML","138.5","P","","191","AER","0","A","P","","","","","","","",""
"671","AEROSOL LAVANDA  270 ML","138.5","P","","367","AER","0","A","P","","","","","","","",""
"ER50","ESENCIA REL LAVANDA 10 ML","33.5","C","","1","ER","0","A","P","","","","","","","",""
"ER51","ESENC,RELAJ, AZAR 10 ML","33.5","C","","192","ER","0","A","P","","","","","","","",""
"ER52","ESEN,RELAJ, PATCHOULI 10","33.5","C","","334","ER","0","A","P","","","","","","","",""
"ER53","ESEN, RELAJ,SANDALO 10 ML","33.5","C","","203","ER","0","A","P","","","","","","","",""
"ER54","ESEN ,RELAJ, TILO 10 ML","33.5","C","","315","ER","0","A","P","","","","","","","",""
"E55","ESEN,RELAJ, VERBENA","11.5","C","","496","ER","0","A","P","","","","","","","",""
"ER56","ESEN, NARAN, GENJ 10 ML","33.5","C","","362","ER","0","A","P","","","","","","","",""
"ER57","ES, REL,CIRUE, DURA 10 ML","33.5","C","","440","ER","0","A","P","","","","","","","",""
"ER58","ESEN,RELA,NAG CHAMP,10 ML","33.5","C","","431","ER","0","A","P","","","","","","","",""
"ER59","ES,REL,FRUTOS ROJ 10 ML","33.5","C","","293","ER","0","A","P","","","","","","","",""
"121","NINA PERFUMINA 260 ML","166","H","","476","H","0","A","P","","","","","","","",""
"122","PAULA PERFUMINA 260 ML","166","H","","172","H","0","A","P","","","","","","","",""
"123","ALBAHACA LIMON PER 260 ML","166","H","","484","H","0","A","P","","","","","","","",""
"124","NARDO","166","H","","314","H","0","A","P","","","","","","","",""
"672","AEROSOL ETI.NEGRA 270 ML","138.5","P","","329","AER","0","A","P","","","","","","","",""
"1225","","175","8","","0","06","0","A","P","","","","","","","",""
"0113","PAULA 53 ML","241","I","FEMENINO","192","01","0","A","P","","","","","","","",""
"198","ARANDANOS PERF,260 ML","166","H","","235","H","0","A","P","","","","","","","",""
"1226","DIFUSOR PAPAYA 100 ML","175","8","","151","06","0","A","P","","","","","","","",""
"050","COLONIA NUBECITA 112 ML","115","N","","115","N","0","A","P","","","","","","","",""
"051","COLONIA ARCOIRIS 112 ML","115","N","","163","N","0","A","P","","","","","","","",""
"1250","FRUTA BOMBA DIFU 100 ML","175","�","","954","�","0","A","P","","","","","","","",""
"1251","PIMI NARAN DIFU 100 ML","175","�","","944","�","0","A","P","","","","","","","",""
"1253","MANGO Y MARA DIFU 100 ML","175","�","","949","�","0","A","P","","","","","","","",""
"1254","VERB, LIMON DIFU 100 ML","175","�","","680","�","0","A","P","","","","","","","",""
"1255","CITRUS DIFU 100 ML","175","�","","913","�","0","A","P","","","","","","","",""
"196","DEDITOS PERFUMINA 260 ML","166","H","MASCULINO","486","H","0","A","P","","","","","","","",""
"1252","UVA CARAMELO DIFU 100 ML","175","�","","935","�","0","A","P","","","","","","","",""
"190","FRUTA BOMBA PERF 260 ML","166","H","","150","H","0","A","P","","","","","","","",""
"191","PIMIENTA +NARANJA PERFUMI","166","H","","140","H","0","A","P","","","","","","","",""
"192","UVA CARAMELO PER 260 ML","166","H","","144","H","0","A","P","","","","","","","",""
"193","MANGO + MARACUYA PER.260","166","H","","482","H","0","A","P","","","","","","","",""
"194","VERBENA LIMONERA PERFUMI","166","H","","901","H","0","A","P","","","","","","","",""
"195","CITRUS PERF 260 ML","166","H","","167","H","0","A","P","","","","","","","",""
"423","POLO RED 53 ML","241","I","MASCULINO","179","02","0","A","P","","","","","","","",""
"424","212 WIL PARTY 53 ML","241","I","MASCULINO","177","02","0","A","P","","","","","","","",""
"0114","OLIMPIA 53 ML","241","I","FEMENINO","403","01","0","A","P","","","","","","","",""
"0115","GOOD GIRL 53 ML","241","I","FEMENINO","235","01","0","A","P","","","","","","","",""
"0116","LUNA 53 ML","241","I","FEMENINO","85","01","0","A","P","","","","","","","",""
"032","OLIMPIA 50 ML","381","F","FEMENINO","358","FF","0","A","P","","","","","","","",""
"033","GOOD GIRL 50 ML","381","F","FEMENINO","241","FF","0","A","P","","","","","","","",""
"034","LUNA 50 ML","381","F","FEMENINO","152","FF","0","A","P","","","","","","","",""
"45","","381","F","MASCULINO","0","FM","0","A","C","","","","","","","",""
"46","212 WID PARTY 50 ML","381","F","MASCULINO","206","FM","0","A","P","","","","","","","",""
"197","NARANJA MANDARINA 260 ML","166","H","","287","H","0","A","P","","","","","","","",""
"035","","381","F","FEMENINO","0","FF","0","A","P","","","","","","","",""
"47","PURE XS 50 ML","381","F","MASCULINO","197","FM","0","A","P","","","","","","","",""
"0117","","241","I","FEMENINO","0","01","0","I","P","","","","","","","",""
"425","PURE EXCESS FRAG 53 ML","241","I","MASCULINO","30","02","0","A","P","","","","","","","",""
"673","AEROSOL FLOWER 270 ML","138.5","P","","341","AER","0","A","P","","","","","","","",""
"674","AEROSOL DANIELS 270 ML","138.5","P","","696","AER","0","A","P","","","","","","","",""
"675","AEROSOL SANDIA PEPI.270 L","138.5","P","","643","AER","0","A","P","","","","","","","",""
"ALCOHOL","ALCOHOL","50","K","","20","600","0","A","P","","","","","","","",""
"ESENCIA","ESENCIA PURA 1/2 KILO","1100","O","","33","CM","0","A","P","","","","","","","",""
"SFB","SALES FLORES BLANCAS 200","64","S","","389","S3","0","A","P","","","","","","","",""
"SFR","SALES FRUTOS BOSQUE 200","64","S","","395","S3","0","A","P","","","","","","","",""
"SV","SALES VERBENA 200 ML","64","S","","172","S3","0","A","P","","","","","","","",""
"SS","SALES SIVESTRE 200 ML","64","S","","169","S3","0","A","P","","","","","","","",""
"LPAN","LIMPIA PANTALLA 60 ML","81","2","","0","LL","0","A","P","","","","","","","",""
"125","VAINILLA CARAMELO","166","H","","491","H","0","A","P","","","","","","","",""
"126","ANANA-POMELO","166","H","","119","H","0","A","P","","","","","","","",""
"ER55","ESN REL. VERBENA 10 ML","33.5","C","","449","ER","0","A","P","","","","","","","",""
"272","REPUES. FLORES BLANCAS","130","9","","245","PER","0","A","P","","","","","","","",""
"274","REPUESTO UVA","130","9","","414","PER","0","A","P","","","","","","","",""
"275","REPUESTO PERFUMINA","130","9","","485","PER","0","A","P","","","","","","","",""
"276","REPUESTO VAINILLA","130","9","","491","PER","0","A","P","","","","","","","",""
"278","REPUESTO SILVESTRE","130","9","","356","PER","0","A","P","","","","","","","",""
"279","REPUESTO MARINA","130","9","","389","PER","0","A","P","","","","","","","",""
"282","REPUESTO FLOR DE LIMON","130","9","","462","PER","0","A","P","","","","","","","",""
"286","REPUESTO MANAWA","130","9","","487","PER","0","A","P","","","","","","","",""
"297","REPUESTO NAG CHAMPA","130","9","","442","PER","0","A","P","","","","","","","",""
"299","REPUESTO SEDUCTION","130","9","","489","PER","0","A","P","","","","","","","",""
"2100","REPUESTO LINA","130","9","","484","PER","0","A","P","","","","","","","",""
"2101","REPUESTO BUBBLEGUM","130","9","","480","PER","0","A","P","","","","","","","",""
"2102","REPUESTO LAVANDA","130","9","","478","PER","0","A","P","","","","","","","",""
"2103","REPUESTO JASMIN","130","9","","493","PER","0","A","P","","","","","","","",""
"2104","REPUESTO NARANJA DULCE","130","9","","483","PER","0","A","P","","","","","","","",""
"2105","REPUESTO NARANJA GENGIBRE","130","9","","491","PER","0","A","P","","","","","","","",""
"2108","REPUESTO VAINILLA Y CANE","130","9","","481","PER","0","A","P","","","","","","","",""
"2110","REPUESTO BAMBU","130","9","","489","PER","0","A","P","","","","","","","",""
"2111","REPUESTO FLORE AMARILLAS","130","9","","490","PER","0","A","P","","","","","","","",""
"2112","REPUESTO PAPAYA","130","9","","463","PER","0","A","P","","","","","","","",""
"2114","REPUESTO PETIT INFANTE","130","9","","431","PER","0","A","P","","","","","","","",""
"2115","REPUESTO GRANADA & POME","130","9","","499","PER","0","A","P","","","","","","","",""
"2116","REPUESTO TE VERDE","130","9","","446","PER","0","A","P","","","","","","","",""
"2117","REPUESTO SANDIA & PEPINO","130","9","","482","PER","0","A","P","","","","","","","",""
"2118","REPUESTO COCO & VAINILLA","130","9","","496","PER","0","A","P","","","","","","","",""
"2120","REPEUSTO ALERCE","130","9","","469","PER","0","A","P","","","","","","","",""
"2121","REPUESTO NINA","130","9","","486","PER","0","A","P","","","","","","","",""
"2122","REPUESTO PAULA","130","9","","470","PER","0","A","P","","","","","","","",""
"2123","REPUESTO ALBAHACA Y LIMON","130","9","","491","PER","0","A","P","","","","","","","",""
"2124","REPUESTO NARDO","130","9","","493","PER","0","A","P","","","","","","","",""
"2190","REPUESTO FRUTA BOMBA","130","9","","488","PER","0","A","P","","","","","","","",""
"2191","REPUESTO PIMIENTA NARANJA","130","9","","492","PER","0","A","P","","","","","","","",""
"2192","REPUESTO UVA CARAMELO","130","9","","487","PER","0","A","P","","","","","","","",""
"2193","REPUESTO MANGO +MARACUYA","130","9","","496","PER","0","A","P","","","","","","","",""
"2194","REPUESTO VERBENA LIMONERO","130","9","","438","PER","0","A","P","","","","","","","",""
"2195","REPUESTO CITRUS","130","9","","465","PER","0","A","P","","","","","","","",""
"3196","REPUESTO DEDITOS","130","9","","500","PER","0","A","P","","","","","","","",""
"2196","REPUESTO DEDITOS","130","9","","461","PER","0","A","P","","","","","","","",""
"2197","REPUESTO NARAN MANDARINA","130","9","","490","PER","0","A","P","","","","","","","",""
"2198","REPUESTO ARANDANO","130","9","","481","PER","0","A","P","","","","","","","",""
"2125","REPUESTO VAINILLA CARAMEL","130","9","","492","PER","0","A","P","","","","","","","",""
"2126","REPUESTO ANANA POMELO","130","9","","496","PER","0","A","P","","","","","","","",""
"036","SCANDAL JEAN P.GAULTIER 5","381","F","","381","FF","0","A","P","","","","","","","",""
"037","INTERDIT GIVENCHI 50 ML","381","F","","404","FF","0","A","P","","","","","","","",""
"038","BLOOM GUCCI 50 ML","381","F","","330","FF","0","A","P","","","","","","","",""
"48","ALLURRE CHANEL","381","F","","410","FF","0","A","P","","","","","","","",""
"67","VAINILLA+ORQUIDIA 260 ML","166","H","","227","H","0","A","P","","","","","","","",""
"68","DURAZNO+PAPAYA PERF. 260","166","H","","262","H","0","A","P","","","","","","","",""
"69","TILO+BAMBU PERF .260 ML","166","H","","302","H","0","A","P","","","","","","","",""
"70","TE VERDE PEPINO PER.260","166","H","","324","H","0","A","P","","","","","","","",""
"0118","SCANDALL 53 ML","241","I","FEMENINO","175","01","0","A","P","","","","","","","",""
"0119","L;INTERDIT 53 ML","241","I","FEMENINO","199","01","0","A","P","","","","","","","",""
"0120","BLUUM  53 ML","241","I","FEMENINO","225","01","0","A","P","","","","","","","",""
"426","ALLURE 53 ML","241","I","MASCULINO","196","01","0","A","P","","","","","","","",""
"427","WANTTED","241","I","MASCULINO","187","01","0","A","P","","","","","","","",""
"269","TILO BAMBU RESPU 260 ML","130","9","","398","PER","0","A","P","","","","","","","",""
"270","TE VERDE+PEPINO RESP.260","130","9","","428","PER","0","A","P","","","","","","","",""
"271","PARIS","130","9","","471","PER","0","A","P","","","","","","","",""
"505","ALCO GEL 200ML C/T CIEGA","1100","O","","253","ALC","0","A","P","","","","","","","",""
"2099","BIDON 5 LI ALCOHOL","1100","O","","4261","ALC","0","A","P","","","","","","","",""
"BAR","TAPA BOCAS","1100","O","","29700","ALC","0","A","P","","","","","","","",""
"ENV","ENVASES 1/2 Y 1 LITRO","1100","O","","6206","ENV","0","A","P","","","","","","","",""
"506","ALCO EN GEL C/TA FLIT","1100","O","","605","ALC","0","A","P","","","","","","","",""
"507","SANITIZANTE 60 ML","1100","O","","963","SAN","0","A","P","","","","","","","",""
"508","SANITIZANTE 200ML","1100","O","","780","SAN","0","A","P","","","","","","","",""
"509","SANITIZANTE 5 LITROS","1100","O","","401","SAN","0","A","P","","","","","","","",""
"510","SANITIZANTE 500 ML C/G","1100","O","","859","SAN","0","A","P","","","","","","","",""
"502","ALC.EN GEL 1/2 LITRO","1100","O","","100","ALC","0","A","P","","","","","","","",""
"503","ALC GEL 1 LITRO","1100","O","","150","ALC","0","A","P","","","","","","","",""
"504","BIDON 5 LITROS ALC","1100","O","","490","ALC","0","A","P","","","","","","","",""
"5000","VAINILLA + ORQUIDIA","130","9","","485","60M","0","A","P","","","","","","","",""
"EH","ESENCIA HUMI LIMON","77","6","","371","6","0","A","P","","","","","","","",""
"EH1","ESEN HUMIF NAG CHAMPA 10","77","6","","397","6","0","A","P","","","","","","","",""
"EH2","ESEN HUMI F.BLANCA 10 ML","77","6","","481","6","0","A","P","","","","","","","",""
"EH3","ESEN.HUMI. SAN PEPI 10 ML","77","6","","482","6","0","A","P","","","","","","","",""
"EH4","ESEN.HUMI.VERB, LIMO 10 M","77","6","","475","6","0","A","P","","","","","","","",""
"EH5","ESEN.HUMI.PETI INF.10 ML","77","6","","476","6","0","A","P","","","","","","","",""
"S08","SAHUM.FRUTILLA","33.5","M","","440","FC","0","A","P","","","","","","","",""
"S09","SAHUM. SANDALO","33.5","M","","448","FC","0","A","P","","","","","","","",""
"S10","SAHUME SANDALO","0","M","","500","FC","0","A","P","","","","","","","",""
"2098","ALC ETI 5 LITROS","1100","O","","4982","ALC","0","A","P","","","","","","","",""
"2097","ALC.ETI 500 ML","1100","O","","980","ALC","0","A","P","","","","","","","",""
"676","AEROSOL MARIA C","138.5","P","","361","AER","0","A","P","","","","","","","",""
"1256","MARIA CHER DIFU 100 ML","175","�","","463","�","0","A","P","","","","","","","",""
